"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
492.235590061265,3153.16778175794,0,492.235590061265,0,0
1829.13428003398,302.714141695288,105.317558351545,0,302.714141695288,0
0,0,3153.16778175794,0,492.235590061265,0
0,1829.13428003398,302.714141695288,105.317558351545,1829.13428003398,0
3153.16778175794,0,492.235590061265,0,0,492.235590061265
302.714141695288,105.317558351545,0,302.714141695288,0,1829.13428003398
492.235590061265,3153.16778175794,0,0,3153.16778175794,0
0,302.714141695288,105.317558351545,0,302.714141695288,105.317558351545
0,492.235590061265,3153.16778175794,0,492.235590061265,3153.16778175794
105.317558351545,0,302.714141695288,105.317558351545,1829.13428003398,302.714141695288
